,comfort,surprise,anxiety,calmness,boredom,ECG_Rate,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_SDSD,EDA_Phasic_Mean,EDA_Phasic_Std,EDA_Tonic_Mean,EDA_Tonic_std,SCR_Onsets,SCR_Magnitude,SCR_Amplitude_Mean,SCR_RiseTime_Mean,SCR_RecoveryTime_Mean,Pupil_Mean,Pupil_Std,s_id,t_id
1,1.53511703,0.5150501728,0.4983277619,0.9732441306,1.458194017,93.6729387,16.34913202,642.2222222,16.64704728,16.84531703,0.1086099387,0.1111778828,0.5099941934,0.1577190652,0.08333333333,0.3197893865,0.0002131929243,0.0007146666667,0.0001813333333,50.10770264,4.686173113,P05,2
2,1.82441473,0.5033444762,1.025083661,0.4933110476,1.401337743,82.92724068,37.97543065,724.5,48.70318265,39.16850046,0.05786972871,0.1963246167,-0.4930626192,0.06854041103,0.08333333333,0.4958923161,0.0003305948774,0.002346666667,0.0001493333333,51.53500848,3.995601271,P05,2
3,1.866220713,0.4531772435,1.020066857,1.483277559,1.52675581,80.26557715,45.15370575,750.4,56.09787365,46.79814028,0.05395787012,0.1342984349,-0.3376063283,0.06760606569,0.1666666667,0.7130990702,0.0006654720118,0.0004906666667,0.000128,50.08901716,4.202677694,P05,2
4,1.842809319,0.2491638809,1.483277559,1.545150518,1.53511703,80.50644051,38.19947644,745.5,52.02819748,39.2927959,0.07357099453,0.1909822387,-0.5179363045,0.05467381384,0.08333333333,0.08049307175,5.37E-05,0.000176,6.93E-05,47.98634548,5.933136038,P05,2
5,1.857859492,0.5217391253,0.6822742224,1.406354547,1.655518413,76.49865163,43.76159187,785.1428571,77.42674666,43.10035992,0.1725323877,0.7853785881,0.1629613221,0.3474072795,0.25,2.947859533,0.002854591522,0.002752,0.000432,49.46953839,4.686227851,P05,2
6,1.857859492,0.5986621976,0.6421404481,1.11371243,1.64882946,76.36253801,36.92820477,786.2857143,70.8231042,38.0013495,0.04419437956,0.09824409876,-0.4517803721,0.1085792954,0.08333333333,0.1621254822,0.0001080836548,0.0001866666667,7.47E-05,50.06153989,4.526746053,P05,2
7,1.839464903,0.4615384638,1.660535097,0.8428093791,1.493311048,74.82170776,51.27302485,795.4285714,87.61955725,51.80634552,0.02407437703,0.1921060972,-0.401963555,0.08604069711,0.1666666667,0.4765385536,0.0005708983682,0.002896,0.0003093333333,49.77004211,4.959330514,P05,2
8,1.867892981,1.215719104,0.9782608747,1.428093672,1.588628769,78.52973956,47.8459065,764,67.20805812,49.46482822,0.1057644518,0.2025428954,-0.1636760566,0.1566307102,0.25,0.5048472697,0.0006592313695,0.00056,0.000272,52.58615845,5.067252619,P05,2
9,1.055183887,1.565217376,0.6020066738,1.046822786,0.5367892981,73.46778018,68.49592913,808.5714286,84.04917451,70.0124531,0.02948660112,0.1430153323,-0.1956932236,0.05523000184,0.08333333333,0.2954791188,0.0001969860792,0.00064,0.0001226666667,50.92194375,5.307520084,P05,2
10,0.9749163985,1.503344536,0.5602006912,0.5535116792,1.612040162,72.69837368,49.53113499,824,86.40987598,49.41353023,0.03097833246,0.2137785135,0.06374980824,0.1208180806,0.08333333333,0.2842717983,0.0001895145322,0.0002986666667,0.000112,49.96091759,5.384125559,P05,2
